transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,transaction_month,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,age,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,address,postcode,state,country,property_valuation
231,46,37,12/08/2017,TRUE,Approved,"OHM Cycles",Standard,low,medium,1793.43,$248.82,36361,"$1,544.61",August,37,Laurie,Dwerryhouse,Female,46,36,1985-12-22,"Social Worker",Health,"High Net Worth",N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,16,"7188 Cody Way",3350,VIC,Australia,9
2557,69,39,26/11/2017,FALSE,Approved,"Giant Bicycles",Road,medium,medium,792.9,$594.68,33879,$198.22,November,39,Hunfredo,Smalley,Male,5,43,1979-04-16,"Assistant Media Planner",Entertainment,"Mass Customer",N,',No,22,"60 Eagan Circle",4018,QLD,Australia,8
327,1,40,09/05/2017,TRUE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,$954.82,42688,$448.68,May,40,Tomasine,Jerche,Female,91,40,1981-10-27,"Payment Adjustment Coordinator",Manufacturing,"Affluent Customer",N,"Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼",No,14,"89314 Eagle Crest Center",4670,QLD,Australia,2
1677,82,41,15/04/2017,TRUE,Approved,"Norco Bicycles",Standard,high,medium,1148.64,$689.18,42226,$459.46,April,41,Basilius,Coupe,Male,64,46,1976-04-14,"Food Chemist",Health,"Mass Customer",N,"() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; }",No,16,"2028 Lakewood Place",2480,"New South Wales",Australia,3
896,53,43,04/01/2017,FALSE,Approved,"OHM Cycles",Standard,medium,medium,795.34,$101.58,35470,$693.76,January,43,Indira,Belt,Female,38,39,1983-03-01,"Director of Sales",Retail,"Mass Customer",N,â°â´âµ,No,5,"543 Killdeer Park",2322,"New South Wales",Australia,4
2120,98,44,24/05/2017,FALSE,Approved,"Trek Bicycles",Standard,high,medium,358.39,$215.03,38002,$143.36,May,44,Neron,Verick,Male,63,40,1981-10-18,"Assistant Media Planner",Entertainment,"Affluent Customer",N,../../../../../../../../../../../etc/passwd%00,Yes,17,"22125 Ramsey Drive",3198,VIC,Australia,9
655,8,46,12/05/2017,FALSE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",38693,$187.39,May,46,Kaila,Allin,Female,98,50,1972-02-26,"Recruiting Manager",n/a,"Affluent Customer",N,â°â´âµâââ,Yes,15,"957 Veith Junction",2047,"New South Wales",Australia,10
1875,1,47,25/11/2017,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,$954.82,42688,$448.68,November,47,Matthew,Jeaycock,Male,51,29,1992-10-22,"Registered Nurse",Health,"Affluent Customer",N,<script>alert('hi')</script>,No,2,"4853 Gulseth Avenue",4503,QLD,Australia,5
121,25,50,04/12/2017,FALSE,Approved,"Giant Bicycles",Road,medium,medium,1538.99,$829.65,33888,$709.34,December,50,Whitby,Schapero,Male,38,41,1980-10-01,"Account Executive",Manufacturing,"Mass Customer",N,0/0,Yes,16,"6 Homewood Avenue",2142,"New South Wales",Australia,8
3165,77,51,22/08/2017,FALSE,Approved,"Norco Bicycles",Road,medium,large,1240.31,$795.10,40553,$445.21,August,51,Fidelio,Dilke,Male,68,62,1959-12-05,"Computer Systems Analyst II",Retail,"Mass Customer",N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18,"15 Almo Lane",2029,"New South Wales",Australia,10
2447,65,52,03/12/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,40487,"$1,028.76",December,52,Curran,Bentson,Male,57,34,1988-06-22,"Recruiting Manager","Financial Services","Mass Customer",N,01-Feb,Yes,13,"690 Glacier Hill Circle",2127,"New South Wales",Australia,10
1329,73,54,07/10/2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,38193,"$1,612.25",October,54,Loralyn,Wonfor,Female,2,55,1966-07-24,"Sales Associate",Property,"Mass Customer",N,-0.5,Yes,18,"18 Elgar Park",2166,"New South Wales",Australia,9
823,51,56,07/05/2017,FALSE,Approved,"OHM Cycles",Standard,high,medium,2005.66,"$1,203.40",37220,$802.26,May,56,Reese,Ensor,Male,44,26,1996-07-04,"VP Sales",Property,"Mass Customer",N,ã,Yes,4,"39 3rd Drive",2026,"New South Wales",Australia,10
765,75,57,13/05/2017,FALSE,Approved,"Giant Bicycles",Touring,medium,large,1873.97,$863.95,38193,"$1,010.02",May,57,Abba,Masedon,Male,87,34,1988-06-13,"Chief Design Engineer",n/a,"Mass Customer",N,1.00E+02,Yes,13,"44516 Katie Parkway",2765,"New South Wales",Australia,7
314,6,58,20/08/2017,TRUE,Approved,"OHM Cycles",Standard,high,medium,227.88,$136.73,39298,$91.15,August,58,Dalenna,Pinnock,Female,26,55,1967-07-04,"Office Assistant III","Financial Services","Affluent Customer",N,"1;DROP TABLE users",Yes,17,"41 Schurz Center",2749,"New South Wales",Australia,8
3052,17,59,10/04/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,34079,"$1,305.25",April,59,Niki,Heathcote,Male,60,22,2000-02-08,"Physical Therapy Assistant",n/a,"High Net Worth",N,-$1.00,No,3,"68150 Boyd Road",2745,"New South Wales",Australia,9
3209,90,60,27/05/2017,FALSE,Approved,"Norco Bicycles",Standard,low,medium,363.01,$290.41,38482,$72.60,May,60,Nadiya,Champerlen,Female,18,52,1970-02-04,"Recruiting Manager",Manufacturing,"Mass Customer",N,á,No,10,"11474 Westend Hill",3752,VIC,Australia,8
363,73,62,14/08/2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,37499,"$1,612.25",August,62,Sorcha,Roggers,Female,38,42,1979-07-06,"Recruiting Manager",IT,"Mass Customer",N,"(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»",Yes,22,"163 Straubel Trail",2217,"New South Wales",Australia,10
2811,89,63,21/09/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,38482,"$1,305.25",September,63,Ebony,Zini,Female,58,57,1965-07-03,"Senior Quality Engineer",Retail,"Mass Customer",N,00ËÆ$-,Yes,16,"68294 Clarendon Crossing",2230,"New South Wales",Australia,10
1563,0,64,20/04/2017,TRUE,Approved,"OHM Cycles",Standard,high,medium,227.88,$136.73,37659,$91.15,April,64,Gerek,Yve,Male,73,44,1978-03-25,"Legal Assistant",IT,"High Net Worth",N,ï¼ï¼ï¼,No,4,"486 Mariners Cove Plaza",3046,VIC,Australia,7
2051,38,65,08/04/2017,FALSE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,35707,$751.02,April,65,Yale,Tanser,Male,21,46,1976-04-01,"Information Systems Manager","Financial Services","Affluent Customer",N,1/0,Yes,15,"0322 Dryden Court",3183,VIC,Australia,7
2488,31,67,18/03/2017,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,230.91,$173.18,39031,$57.73,March,67,Vernon,,Male,67,62,1960-06-14,"Web Developer II",Retail,"Mass Customer",N,<svg><script>0<1>alert('XSS')</script>,No,18,"07041 Briar Crest Lane",2213,"New South Wales",Australia,10
1769,3,68,07/10/2017,TRUE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,$388.92,40670,"$1,702.55",October,68,Dahlia,Eddoes,Female,37,48,1974-04-21,"Information Systems Manager",n/a,"Affluent Customer",N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,9,"29466 Hanson Pass",4208,QLD,Australia,6
935,78,69,05/06/2017,FALSE,Approved,"Giant Bicycles",Standard,medium,large,1765.3,$709.48,38193,"$1,055.82",June,69,Heidi,Milner,Female,16,53,1969-06-22,"Web Developer II",n/a,"Mass Customer",N,0/0,No,6,"0212 Forest Run Trail",2774,"New South Wales",Australia,8
862,92,71,21/08/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",37539,$155.65,August,71,Hoyt,Glavias,Male,30,37,1985-01-27,"Research Associate",Argiculture,"Affluent Customer",N,ï½ï½¨(Â´âï½â©,Yes,12,"4763 Merchant Avenue",2756,"New South Wales",Australia,8
1202,70,72,10/08/2017,FALSE,Approved,"Trek Bicycles",Standard,high,medium,495.72,$297.43,36668,$198.29,August,72,Sammy,Cheese,Male,93,50,1972-02-13,"Administrative Officer",Manufacturing,"Affluent Customer",N,$1.00,Yes,16,"439 Ridgeway Court",4213,QLD,Australia,9
470,18,73,30/04/2017,FALSE,Approved,Solex,Standard,medium,medium,575.27,$431.45,34165,$143.82,April,73,Minette,Worters,Female,16,62,1960-05-27,Teacher,n/a,"Affluent Customer",N,âââ,Yes,5,"2 Clyde Gallagher Lane",4170,QLD,Australia,5
2963,66,74,16/10/2017,TRUE,Approved,"Giant Bicycles",Road,low,small,590.26,$525.33,40410,$64.93,October,74,Pansy,Kiddie,Female,94,53,1969-06-19,"Recruiting Manager",n/a,"Mass Customer",N,ã»(ï¿£âï¿£)ã»:*:,Yes,6,"97455 Loeprich Lane",2153,"New South Wales",Australia,9
67,2,75,03/07/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245,$17.87,July,75,Dollie,Sealy,Female,28,43,1978-07-15,"VP Product Management",Property,"Mass Customer",N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,19,"9527 Ridgeway Street",2073,"New South Wales",Australia,10
28,19,76,23/12/2017,FALSE,Approved,"Trek Bicycles",Mountain,low,medium,574.64,$459.71,42560,$114.93,December,76,Rea,Hasser,Female,20,44,1978-01-23,"Statistician II",Retail,"High Net Worth",N,â¢,Yes,18,"7 Jackson Point",3561,VIC,Australia,1
866,87,79,13/11/2017,FALSE,Approved,"Giant Bicycles",Standard,high,medium,1179,$707.40,35667,$471.60,November,79,Tybi,Silliman,Female,76,53,1968-10-02,"Account Executive",Manufacturing,"Mass Customer",N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18,"2796 Caliangt Circle",2204,"New South Wales",Australia,12
1949,1,80,02/12/2017,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,$954.82,42688,$448.68,December,80,Pablo,Small,Male,11,44,1978-04-24,"Data Coordiator",Entertainment,"Mass Customer",N,nil,No,13,"96061 Ludington Place",2086,"New South Wales",Australia,11
965,50,82,13/10/2017,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,642.7,$211.37,37337,$431.33,October,82,Gleda,Cokely,Female,93,57,1965-06-28,"Software Test Engineer III",Property,"High Net Worth",N,ç°ä¸­ããã«ããã¦ä¸ãã,No,19,"289 Haas Street",2075,"New South Wales",Australia,11
1486,69,85,18/01/2017,TRUE,Approved,"Giant Bicycles",Road,medium,medium,792.9,$594.68,33879,$198.22,January,85,Kane,Tixall,Male,1,64,1958-05-21,"Analyst Programmer",n/a,"Mass Customer",N,NIL,No,8,"73042 Roth Crossing",2100,"New South Wales",Australia,11
1200,0,86,21/06/2017,TRUE,Approved,"OHM Cycles",Standard,low,medium,71.16,$56.93,38647,$14.23,June,86,Job,Sleney,Male,75,33,1989-03-04,"Occupational Therapist",Health,"High Net Worth",N,1,Yes,7,"171 Fordem Junction",2233,"New South Wales",Australia,10
323,67,87,08/11/2017,TRUE,Approved,"Norco Bicycles",Road,medium,medium,544.05,$376.84,38647,$167.21,November,87,Fields,Langdon,Male,78,48,1974-04-23,Editor,"Financial Services","Mass Customer",N,"__ï¾(,_,*)",No,8,"2640 Manley Point",2166,"New South Wales",Australia,9
1960,59,89,29/10/2017,FALSE,Approved,Solex,Standard,medium,large,1061.56,$733.58,42145,$327.98,October,89,Benedicto,Hoxey,Male,74,55,1967-01-22,"Speech Pathologist",Health,"Mass Customer",N,"() { 0; }; touch /tmp/blns.shellshock1.fail;",Yes,14,"2 Mcbride Road",3070,VIC,Australia,10
2275,3,92,26/11/2017,FALSE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,$388.92,36361,"$1,702.55",November,92,Jodee,Judkins,Female,98,41,1980-09-11,"Recruiting Manager",Health,"Mass Customer",N,âââ,No,12,"6 Heffernan Center",2125,"New South Wales",Australia,11
1538,51,93,12/10/2017,FALSE,Approved,"OHM Cycles",Standard,high,medium,2005.66,"$1,203.40",40672,$802.26,October,93,Gordon,Gowar,Male,63,45,1976-07-16,"Project Manager",Retail,"Mass Customer",N,0/0,Yes,10,"6088 Roxbury Hill",2766,"New South Wales",Australia,8
775,31,94,04/09/2017,TRUE,Approved,"Giant Bicycles",Standard,medium,medium,230.91,$173.18,39031,$57.73,September,94,Wallache,Simchenko,Male,33,47,1974-08-07,"Civil Engineer",Manufacturing,"Mass Customer",N,"(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»",No,21,"105 Shelley Alley",2209,"New South Wales",Australia,10
832,16,98,30/07/2017,FALSE,Approved,"Norco Bicycles",Standard,high,small,1661.92,"$1,479.11",34586,$182.81,July,98,Allianora,Babalola,Female,19,66,1956-03-17,"Safety Technician IV",Health,"Mass Customer",N,,No,7,"55850 Butterfield Road",2168,"New South Wales",Australia,9
1019,88,99,04/09/2017,FALSE,Approved,"Norco Bicycles",Standard,medium,medium,1198.46,$381.10,36145,$817.36,September,99,Reggie,Mulliner,Male,97,24,1998-06-13,"VP Accounting","Financial Services","Mass Customer",N,"Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼",No,3,"68 Little Fleur Crossing",2046,"New South Wales",Australia,12
79,87,102,12/09/2017,TRUE,Approved,"Giant Bicycles",Standard,high,medium,1179,$707.40,35667,$471.60,September,102,Langsdon,Tranfield,Male,51,65,1956-11-27,"Quality Control Specialist",Manufacturing,"Affluent Customer",N,"×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ",No,16,"7909 Pierstorff Crossing",2517,"New South Wales",Australia,9
529,6,103,03/06/2017,TRUE,Approved,"OHM Cycles",Standard,high,medium,227.88,$136.73,37838,$91.15,June,103,Ethyl,Runham,Female,49,25,1997-04-21,"Product Engineer","Financial Services","Affluent Customer",N,"ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾",Yes,4,"01 Muir Parkway",2096,"New South Wales",Australia,12
1539,2,109,02/10/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245,$17.87,October,109,Cody,Blabey,Male,16,43,1978-12-11,"Marketing Assistant",n/a,"Affluent Customer",N,1.00E+02,Yes,4,"15239 Northwestern Point",4300,QLD,Australia,4
1442,5,110,19/01/2017,TRUE,Approved,"Trek Bicycles",Mountain,low,medium,574.64,$459.71,40784,$114.93,January,110,Sascha,"St. Quintin",Male,23,21,2000-07-31,"Recruiting Manager","Financial Services","Affluent Customer",N,"TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ",No,1,"60 Oneill Street",2170,"New South Wales",Australia,9
670,5,112,29/01/2017,FALSE,Approved,"Giant Bicycles",Standard,high,medium,1129.13,$677.48,37698,$451.65,January,112,Shena,Parren,Female,88,46,1975-08-12,"Marketing Manager",Retail,"High Net Worth",N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,12,"0349 Farmco Terrace",2168,"New South Wales",Australia,8
3197,96,113,04/01/2017,FALSE,Cancelled,WeareA2B,Road,low,small,1172.78,"$1,043.77",37539,$129.01,January,113,Gage,Nickless,Male,67,66,1956-05-06,"Staff Scientist",n/a,"Mass Customer",N,"(ï½¡â â âï½¡)",No,20,"185 Pennsylvania Way",4226,QLD,Australia,6
1381,61,114,21/10/2017,FALSE,Approved,"OHM Cycles",Standard,low,medium,71.16,$56.93,42172,$14.23,October,114,Sunny,Swindells,Female,10,36,1985-10-23,Teacher,Entertainment,"Affluent Customer",N,-1.00E+02,No,8,"432 Longview Circle",3192,VIC,Australia,10
2941,75,115,16/12/2017,TRUE,Approved,"Giant Bicycles",Touring,medium,large,1873.97,$863.95,38859,"$1,010.02",December,115,Alberik,Mereweather,Male,77,40,1981-12-21,"Account Executive",Health,"Mass Customer",N,NULL,No,18,"5814 Bunker Hill Street",3070,VIC,Australia,7
1994,4,116,15/05/2017,TRUE,Approved,"Giant Bicycles",Standard,high,medium,1129.13,$677.48,33549,$451.65,May,116,Scottie,Swiffen,Male,49,23,1999-02-05,"Assistant Professor",Manufacturing,"Affluent Customer",N,"ð¾ ð ð ð ð ð ð ð§",Yes,2,"7 Carberry Crossing",2485,"New South Wales",Australia,2
3191,48,117,19/06/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,42688,$812.44,June,117,Nance,Suttling,Female,75,40,1982-02-23,"Marketing Manager",Manufacturing,"Mass Customer",N,"TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ",No,15,"53 Talisman Trail",2097,"New South Wales",Australia,9
3032,50,118,21/10/2017,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,642.7,$211.37,37337,$431.33,October,118,Prentice,Pearmain,Male,43,62,1959-11-12,"Budget/Accounting Analyst IV",n/a,"High Net Worth",N,"(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»",No,19,"5 Prairie Rose Road",4817,QLD,Australia,2
100,0,119,31/07/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,36146,$179.44,July,119,Willey,Chastanet,Male,9,40,1981-12-04,"Associate Professor",n/a,"High Net Worth",N,,Yes,9,"84 Florence Parkway",2516,"New South Wales",Australia,8
3057,92,122,30/08/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",34556,$155.65,August,122,Colver,Itter,Male,87,43,1979-04-19,"Quality Control Specialist","Financial Services","Mass Customer",N,"ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥",Yes,12,"8 Hagan Hill",4508,QLD,Australia,4
1551,19,124,17/04/2017,FALSE,Approved,"Trek Bicycles",Mountain,low,medium,574.64,$459.71,40784,$114.93,April,124,Kath,Cunney,Female,27,27,1995-05-03,"Administrative Assistant II",Health,"High Net Worth",N,ç°ä¸­ããã«ããã¦ä¸ãã,Yes,5,"10918 Merry Way",2452,"New South Wales",Australia,5
